id,question_type,question_text,subject,grade,grade_level,region,topic,subtopic,learning_objective,blooms_level,difficulty_level,difficulty_rating,options,explanation,generation_metadata,created_at,updated_at,rownumber,summary
53780,fitb,"✏️ small, 📘 small, 🖍️ big, 👜 small go in the ____ group.",math,,grade kg,global,Sorting & Classification,Sorting by Attributes,"Students can sort objects by one attribute such as colour, shape, or size",analyze,hard,4.0,[],Three objects are small and one is big. The best group label is small.,"{""hint"":""Most objects match one size."",""answer"":""small"",""caseSensitive"":false,""acceptableAnswers"":[""small"",""little""]}",2026-05-21T10:56:42.717Z,2026-05-21T10:56:43.143Z,11,fitb for Sorting & Classification
60888,drag_drop,Sort these into 2 matching boxes. ⭐,math,,grade kg,global,Sorting & Classification,Matching & Grouping,Students can group objects that belong together and explain why,remember,easy,1.0,[],Coin matches gem as treasure. Map matches key as finding and opening things.,"{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""💎 gem""},{""id"":""item_2"",""label"":""🔑 key""},{""id"":""item_3"",""label"":""🪙 coin""},{""id"":""item_4"",""label"":""🗺️ map""}],""labels"":{""end"":null,""start"":null,""instruction"":""Match the things that go together.""},""targets"":[{""id"":""target_1"",""label"":""💎 gem box""},{""id"":""target_2"",""label"":""🗺️ map box""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_1""},{""itemId"":""item_4"",""targetId"":""target_2""}]}",2026-05-21T10:58:53.078Z,2026-05-21T10:58:53.401Z,12,drag_drop for Sorting & Classification
63075,drag_drop,Sort by size. One toy does not match the others in its box. Move all toys to the right box.,math,,grade kg,global,Sorting & Classification,Sorting by Attributes,Students can explain the rule used to sort a group of objects,apply,medium,3.0,[],The rule is size. Small toys go in Small. Big toys go in Big.,"{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""⚽ small ball""},{""id"":""item_2"",""label"":""🧱 big block""},{""id"":""item_3"",""label"":""🧸 small teddy""},{""id"":""item_4"",""label"":""🚂 big train""}],""labels"":{""end"":null,""start"":null,""instruction"":""Drag toys into Small or Big.""},""targets"":[{""id"":""target_1"",""label"":""Small""},{""id"":""target_2"",""label"":""Big""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_1""},{""itemId"":""item_4"",""targetId"":""target_2""}]}",2026-05-21T10:59:38.763Z,2026-05-21T10:59:39.028Z,13,drag_drop for Sorting & Classification
65811,drag_drop,Look carefully. Two cards match one box. Two cards match the other box. 🦁,math,,grade kg,global,Sorting & Classification,Matching & Grouping,Students can identify the odd one out from a set of objects,analyze,hard,4.0,[],The lion cards go together and the zebra cards go together. Each card matches its own animal box.,"{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""🦁 lion""},{""id"":""item_2"",""label"":""🦓 zebra""},{""id"":""item_3"",""label"":""🦁 lion""},{""id"":""item_4"",""label"":""🦓 zebra""}],""labels"":{""end"":""Box 2"",""start"":""Box 1"",""instruction"":""Match each card""},""targets"":[{""id"":""target_1"",""label"":""🦁 Lion box""},{""id"":""target_2"",""label"":""🦓 Zebra box""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_1""},{""itemId"":""item_4"",""targetId"":""target_2""}]}",2026-05-21T11:00:26.896Z,2026-05-21T11:00:27.416Z,14,drag_drop for Sorting & Classification
78328,drag_drop,Finish the animal sort. Use the boxes: striped and not striped. 🦓,math,,grade kg,global,Sorting & Classification,Sorting by Attributes,Students can sort the same set of objects in more than one way,analyze,hard,4.0,[],Only zebra has stripes here. The other animals do not.,"{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""🦓 zebra""},{""id"":""item_2"",""label"":""🦁 lion""},{""id"":""item_3"",""label"":""🐘 elephant""},{""id"":""item_4"",""label"":""🦓 zebra""},{""id"":""item_5"",""label"":""🐵 monkey""}],""labels"":{""end"":null,""start"":null,""instruction"":""Sort by the pattern.""},""targets"":[{""id"":""target_1"",""label"":""Striped""},{""id"":""target_2"",""label"":""Not striped""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_2""},{""itemId"":""item_4"",""targetId"":""target_1""},{""itemId"":""item_5"",""targetId"":""target_2""}]}",2026-05-21T11:04:07.177Z,2026-05-21T11:04:07.322Z,15,drag_drop for Sorting & Classification
98610,mcq,Pick the number that comes last when counting from 0 up to 5.,math,,grade kg,global,Numbers 0-5,Ordering & Comparing within 5,Students can arrange numbers 0 to 5 in order from least to greatest,remember,easy,1.0,"[{""text"":""2"",""correct"":false},{""text"":""4"",""correct"":false},{""text"":""5"",""correct"":true},{""text"":""0"",""correct"":false}]",Great counting! 5 comes last when we count from 0 to 5.,"{""focus"":""identify the greatest number in counting sequence"",""grade"":""KG"",""topic"":""Numbers 0–5"",""subject"":""Maths"",""subtopic"":""Ordering & Comparing within 5"",""questionType"":""mcq"",""questionNumber"":""Q36"",""learning_objective"":""Students can arrange numbers 0 to 5 in order from least to greatest""}",2026-05-21T11:11:32.381Z,2026-05-21T11:11:32.576Z,16,mcq for Numbers 0-5
98600,mcq,"A pirate chest has number coins 2, 1, and 4. Pick the order from smallest to biggest.",math,,grade kg,global,Numbers 0-5,Ordering & Comparing within 5,Students can arrange numbers 0 to 5 in order from least to greatest,apply,easy,1.0,"[{""text"":""1, 2, 4"",""correct"":true},{""text"":""4, 2, 1"",""correct"":false},{""text"":""2, 1, 4"",""correct"":false},{""text"":""1, 4, 2"",""correct"":false}]","Super! 1, 2, 4 is the correct order from smallest to biggest.","{""focus"":""order three numbers"",""grade"":""KG"",""topic"":""Numbers 0–5"",""subject"":""Maths"",""subtopic"":""Ordering & Comparing within 5"",""questionType"":""mcq"",""questionNumber"":""Q48"",""learning_objective"":""Students can arrange numbers 0 to 5 in order from least to greatest""}",2026-05-21T11:11:32.207Z,2026-05-21T11:11:32.390Z,17,mcq for Numbers 0-5
98607,mcq,Look at 2 and 2. What is true?,math,,grade kg,global,Numbers 0-5,Ordering & Comparing within 5,Students can arrange numbers 0 to 5 in order from least to greatest,remember,easy,1.0,"[{""text"":""The first 2 is bigger."",""correct"":false},{""text"":""The second 2 is smaller."",""correct"":false},{""text"":""Both numbers are the same."",""correct"":true},{""text"":""One 2 is greater than the other."",""correct"":false}]","Both numbers are 2, so they are the same. One 2 is not bigger or smaller than the other because they match exactly.","{""focus"":""recognise equal numbers"",""grade"":""KG"",""topic"":""Numbers 0–5"",""subject"":""Maths"",""subtopic"":""Ordering & Comparing within 5"",""questionType"":""mcq"",""questionNumber"":""Q54"",""learning_objective"":""Students can arrange numbers 0 to 5 in order from least to greatest""}",2026-05-21T11:11:32.299Z,2026-05-21T11:11:32.437Z,18,mcq for Numbers 0-5
98292,mcq,There are 2 toy cars in one row and 2 more toy cars in another row. Which sentence tells how many toy cars there are altogether? 🚗 🚗   🚗 🚗,math,,grade kg,global,Numbers 0-5,Counting to 5,Students can count objects up to 5 using one-to-one correspondence,understand,medium,2.0,"[{""text"":""There are 5 toy cars altogether."",""correct"":false},{""text"":""There are 4 toy cars altogether."",""correct"":true},{""text"":""There are 2 toy cars altogether."",""correct"":false},{""text"":""There are 3 toy cars altogether."",""correct"":false}]",Count all the toy cars: 2 in the first row and 2 in the second row makes 4 altogether. So 'There are 4 toy cars altogether' is correct. The other choices do not match the total.,"{""focus"":""representation_translation"",""grade"":""KG"",""topic"":""Numbers 0–5"",""subject"":""Maths"",""subtopic"":""Counting to 5"",""questionType"":""mcq"",""questionNumber"":""Q17"",""learning_objective"":""Students can count objects up to 5 using one-to-one correspondence""}",2026-05-21T11:11:24.200Z,2026-05-21T11:11:24.411Z,19,mcq for Numbers 0-5
98757,mcq,"A string has 5 beads. Another string has 4 beads, and 1 bead falls off. Compare the first string to the second string now.",math,,grade kg,global,Numbers 0-5,Ordering & Comparing within 5,"Students can use the terms 'more', 'fewer', and 'equal' to describe sets of objects",analyze,medium,3.0,"[{""text"":""The first string has more."",""correct"":true},{""text"":""The first string has fewer."",""correct"":false},{""text"":""The strings are equal."",""correct"":false},{""text"":""The second string has more."",""correct"":false}]","The first string has 5 beads. The second string starts with 4 beads, and 1 falls off, so 3 beads are left. Since 5 is greater than 3, the first string has more. The strings are not equal, and the second string does not have more.","{""focus"":""error_correction"",""grade"":""KG"",""topic"":""Numbers 0–5"",""subject"":""Maths"",""subtopic"":""Ordering & Comparing within 5"",""questionType"":""mcq"",""questionNumber"":""Q42"",""learning_objective"":""Students can use the terms 'more', 'fewer', and 'equal' to describe sets of objects""}",2026-05-21T11:11:34.271Z,2026-05-21T11:11:34.350Z,20,mcq for Numbers 0-5
98451,mcq,"At the zoo snack table, the tags must count up by 1 from 0 to 5 with no skips and no repeats. The tags shown are 0, 1, 3, 4, 5. Which fix makes the tags correct?",math,,grade kg,global,Numbers 0-5,Counting to 5,Students can recognise and write numerals 0 to 5,analyze,hard,3.0,"[{""text"":""Add 2 between 1 and 3"",""correct"":true},{""text"":""Add 2 after 5"",""correct"":false},{""text"":""Change 3 to 2 and leave the rest"",""correct"":false},{""text"":""Add another 1 between 1 and 3"",""correct"":false}]","A correct count from 0 to 5 is 0, 1, 2, 3, 4, 5. The missing number is 2, and it belongs between 1 and 3. Adding 2 after 5 is out of order. Changing 3 to 2 would make 3 missing. Adding another 1 would create a repeat and still leave out 2.","{""focus"":""find_the_error"",""grade"":""KG"",""topic"":""Numbers 0–5"",""subject"":""Maths"",""subtopic"":""Counting to 5"",""questionType"":""mcq"",""questionNumber"":""Q63"",""learning_objective"":""Students can recognise and write numerals 0 to 5""}",2026-05-21T11:11:29.445Z,2026-05-21T11:11:29.924Z,21,mcq for Numbers 0-5
98453,mcq,"A dinosaur path must start at 0, end at 5, and show each number from 0 to 5 exactly once in order. The path is 0, 1, __, 3, __, 5. One missing card is 2. Which card must go in the other empty space?",math,,grade kg,global,Numbers 0-5,Counting to 5,Students can recognise and write numerals 0 to 5,analyze,hard,3.0,"[{""text"":""4"",""correct"":true},{""text"":""3"",""correct"":false},{""text"":""5"",""correct"":false},{""text"":""2"",""correct"":false}]","The full ordered path from 0 to 5 is 0, 1, 2, 3, 4, 5. If one empty space is 2, then the other empty space must be 4. Choosing 3, 5, or 2 would repeat a number already used or break the order.","{""focus"":""reverse_reasoning"",""grade"":""KG"",""topic"":""Numbers 0–5"",""subject"":""Maths"",""subtopic"":""Counting to 5"",""questionType"":""mcq"",""questionNumber"":""Q75"",""learning_objective"":""Students can recognise and write numerals 0 to 5""}",2026-05-21T11:11:29.606Z,2026-05-21T11:11:29.927Z,22,mcq for Numbers 0-5
66101,fitb,"Put in order: 5, 2, 0. The last number is ____.",math,,grade kg,global,Numbers 0-5,Ordering & Comparing within 5,Students can arrange numbers 0 to 5 in order from least to greatest,understand,easy,2.0,[],"From least to greatest, the greatest number goes last. In 5, 2, 0, the last number is 5.","{""hint"":null,""answer"":""5"",""caseSensitive"":false,""acceptableAnswers"":[""5""]}",2026-05-21T11:00:33.762Z,2026-05-21T11:00:33.871Z,23,fitb for Numbers 0-5
78396,fitb,"5, 4, ____, 2, 1, 0",math,,grade kg,global,Numbers 0-5,Counting to 5,Students can recognise and write numerals 0 to 5,understand,medium,3.0,[],"Counting back from 5 goes 5, 4, 3, 2, 1, 0.","{""hint"":""Count back one more."",""answer"":""3"",""caseSensitive"":false,""acceptableAnswers"":[""3""]}",2026-05-21T11:04:08.246Z,2026-05-21T11:04:08.364Z,24,fitb for Numbers 0-5
66172,fitb,🦓🦓🦓 and 🐘🐘🐘. Zebras are ____ to elephants.,math,,grade kg,global,Numbers 0-5,Ordering & Comparing within 5,"Students can use the terms 'more', 'fewer', and 'equal' to describe sets of objects",apply,medium,3.0,[],There are 3 zebras and 3 elephants. The groups are equal.,"{""hint"":null,""answer"":""equal"",""caseSensitive"":false,""acceptableAnswers"":[""equal"",""the same"",""same""]}",2026-05-21T11:00:35.883Z,2026-05-21T11:00:36.013Z,25,fitb for Numbers 0-5
78474,fitb,✏️✏️✏️✏️✏️ and 📚📚📚📚. Books are ____.,math,,grade kg,global,Numbers 0-5,Ordering & Comparing within 5,"Students can use the terms 'more', 'fewer', and 'equal' to describe sets of objects",analyze,hard,4.0,[],There are 4 books and 5 pencils. 4 is fewer than 5.,"{""hint"":""Count each group first."",""answer"":""fewer"",""caseSensitive"":false,""acceptableAnswers"":[""fewer""]}",2026-05-21T11:04:09.618Z,2026-05-21T11:04:09.738Z,26,fitb for Numbers 0-5
66108,drag_drop,Put the numbers in order. Smallest to biggest.,math,,grade kg,global,Numbers 0-5,Ordering & Comparing within 5,Students can arrange numbers 0 to 5 in order from least to greatest,remember,easy,1.0,[],"The numbers go from 0 up to 4 in counting order: 0, 1, 2, 4.","{""mode"":""order"",""items"":[{""id"":""item_1"",""label"":""2""},{""id"":""item_2"",""label"":""0""},{""id"":""item_3"",""label"":""4""},{""id"":""item_4"",""label"":""1""}],""labels"":{""end"":""Biggest"",""start"":""Smallest"",""instruction"":""Drag each number to its place.""},""targets"":[{""id"":""target_1"",""label"":""1st""},{""id"":""target_2"",""label"":""2nd""},{""id"":""target_3"",""label"":""3rd""},{""id"":""target_4"",""label"":""4th""}],""answerKey"":[{""itemId"":""item_2"",""targetId"":""target_1""},{""itemId"":""item_4"",""targetId"":""target_2""},{""itemId"":""item_1"",""targetId"":""target_3""},{""itemId"":""item_3"",""targetId"":""target_4""}]}",2026-05-21T11:00:33.825Z,2026-05-21T11:00:34.568Z,27,drag_drop for Numbers 0-5
53437,drag_drop,Sort into smaller than 4 and bigger than 4.,math,,grade kg,global,Numbers 0-5,Counting to 5,Students can recognise and write numerals 0 to 5,apply,medium,3.0,[],"0, 2, and 3 are smaller than 4. Number 5 is bigger than 4.","{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""5""},{""id"":""item_2"",""label"":""2""},{""id"":""item_3"",""label"":""0""},{""id"":""item_4"",""label"":""3""}],""labels"":{""end"":null,""start"":null,""instruction"":""Compare with 4.""},""targets"":[{""id"":""target_1"",""label"":""Smaller than 4""},{""id"":""target_2"",""label"":""Bigger than 4""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_2""},{""itemId"":""item_2"",""targetId"":""target_1""},{""itemId"":""item_3"",""targetId"":""target_1""},{""itemId"":""item_4"",""targetId"":""target_1""}]}",2026-05-21T10:56:37.202Z,2026-05-21T10:56:37.308Z,28,drag_drop for Numbers 0-5
78466,drag_drop,Two boxes are started. Finish the sort: less than 3 and greater than 3.,math,,grade kg,global,Numbers 0-5,Ordering & Comparing within 5,Students can identify which number is greater or less when comparing two numbers within 5,analyze,hard,4.0,[],"1 is less than 3, so it goes in less than 3. 4 and 5 are greater than 3, so they go in greater than 3.","{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""1""},{""id"":""item_2"",""label"":""4""},{""id"":""item_3"",""label"":""5""}],""labels"":{""end"":null,""start"":null,""instruction"":""Finish the two boxes.""},""targets"":[{""id"":""target_1"",""label"":""Less than 3""},{""id"":""target_2"",""label"":""Greater than 3""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_2""}]}",2026-05-21T11:04:09.566Z,2026-05-21T11:04:09.699Z,29,drag_drop for Numbers 0-5
78400,drag_drop,Finish the space boxes. Count the things.,math,,grade kg,global,Numbers 0-5,Counting to 5,Students can count objects up to 5 using one-to-one correspondence,analyze,hard,5.0,[],"Each box shows a number. Count each card and move it to the box with the same number. Some cards may look busy, so count one by one.","{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""🪙🪙🪙🪙🪙""},{""id"":""item_2"",""label"":""💎💎""},{""id"":""item_3"",""label"":""🗝️🗝️🗝️🗝️""},{""id"":""item_4"",""label"":""🗺️🗺️🗺️""},{""id"":""item_5"",""label"":""💎💎💎💎💎""}],""labels"":{""end"":null,""start"":null,""instruction"":""Count each card.""},""targets"":[{""id"":""target_1"",""label"":""2""},{""id"":""target_2"",""label"":""3""},{""id"":""target_3"",""label"":""4""},{""id"":""target_4"",""label"":""5""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_4""},{""itemId"":""item_2"",""targetId"":""target_1""},{""itemId"":""item_3"",""targetId"":""target_3""},{""itemId"":""item_4"",""targetId"":""target_2""},{""itemId"":""item_5"",""targetId"":""target_4""}]}",2026-05-21T11:04:08.251Z,2026-05-21T11:04:08.367Z,30,drag_drop for Numbers 0-5
98828,mcq,Which sentence tells where 10 goes when we count?,math,,grade kg,global,Numbers 6-10,Counting to 10,Students can recognise and write numerals 6 to 10,understand,easy,1.0,"[{""text"":""10 comes before 9."",""correct"":false},{""text"":""10 is the number after 9."",""correct"":true},{""text"":""10 is smaller than 8."",""correct"":false},{""text"":""10 comes after 6 and before 7."",""correct"":false}]","In counting order, 10 comes right after 9. It does not come before 9, it is not smaller than 8, and it is not between 6 and 7.","{""focus"":""number fact for 10"",""grade"":""KG"",""topic"":""Numbers 6–10"",""subject"":""Maths"",""subtopic"":""Counting to 10"",""questionType"":""mcq"",""questionNumber"":""Q22"",""learning_objective"":""Students can recognise and write numerals 6 to 10""}",2026-05-21T11:11:35.564Z,2026-05-21T11:11:35.749Z,31,mcq for Numbers 6-10
99104,mcq,Look at the number line from 6 to 10. Decide which number is between 7 and 9.,math,,grade kg,global,Numbers 6-10,Comparing Numbers to 10,Students can place numbers 6 to 10 correctly on a number line,remember,easy,1.0,"[{""text"":""6"",""correct"":false},{""text"":""8"",""correct"":true},{""text"":""9"",""correct"":false},{""text"":""10"",""correct"":false}]",Great job! The number between 7 and 9 is 8. That is the number right in the middle of them.,"{""focus"":""identify the number between 7 and 9"",""grade"":""KG"",""topic"":""Numbers 6–10"",""subject"":""Maths"",""subtopic"":""Comparing Numbers to 10"",""questionType"":""mcq"",""questionNumber"":""Q14"",""learning_objective"":""Students can place numbers 6 to 10 correctly on a number line""}",2026-05-21T11:11:40.258Z,2026-05-21T11:11:40.406Z,32,mcq for Numbers 6-10
98721,mcq,A little monkey has bananas: 🍌 🍌 🍌 🍌 🍌 🍌 🍌 🍌 🍌 🍌. Pick the number that shows how many bananas there are.,math,,grade kg,global,Numbers 6-10,Counting to 10,Students can count objects from 6 to 10 accurately,apply,easy,1.0,"[{""text"":""8"",""correct"":false},{""text"":""9"",""correct"":false},{""text"":""10"",""correct"":true},{""text"":""7"",""correct"":false}]","Amazing job! The monkey has 10 bananas, so 10 is right.","{""focus"":""counting 10 objects"",""grade"":""KG"",""topic"":""Numbers 6–10"",""subject"":""Maths"",""subtopic"":""Counting to 10"",""questionType"":""mcq"",""questionNumber"":""Q13"",""learning_objective"":""Students can count objects from 6 to 10 accurately""}",2026-05-21T11:11:33.858Z,2026-05-21T11:11:33.925Z,33,mcq for Numbers 6-10
