rowNumber,queueId,questionNumber,questionType,questionText,subject,grade_level,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,explanation,generationMetadata,grade
11,ptg4-topicfg1kw8-tefjr6e-q11-fitb-1,Q11,fitb,The fraction 2/4 is equal to ____.,Maths,4,Equivalent fractions,"Fractions equal to each other, such as 1/2 = 2/4; simplifying.",Students can identify equivalent fractions. Students can explain why two fractions represent the same value. Students can simplify simple fractions.,Knowing,easy,1,"FITB for Equivalent fractions: Fractions equal to each other, such as 1/2 = 2/4; simplifying., aligned to Students can identify equivalent fractions. Students can explain why two fractions represent the same value. Students can simplify simple fractions..",[],"2/4 and 1/2 name the same part of a whole. If you divide the top and bottom of 2/4 by 2, you get 1/2.","{""placementTestTopicId"":""fractions-g4"",""questionNumber"":""Q11"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":4,""topic"":""Equivalent fractions"",""subtopic"":""Fractions equal to each other, such as 1/2 = 2/4; simplifying."",""generationTopic"":""Equivalent fractions"",""generationSubtopic"":""Fractions equal to each other, such as 1/2 = 2/4; simplifying."",""learning_objective"":""Students can identify equivalent fractions. Students can explain why two fractions represent the same value. Students can simplify simple fractions."",""focus"":""Identify a simple equivalent fraction"",""payload"":{""answer"":""1/2"",""acceptableAnswers"":[""1/2""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""fractions-g4-fitb""}}",4
12,ptg4-topicfg1kw8-tefjr6e-q12-fitb-2,Q12,fitb,"When 6/8 is simplified to lowest terms, it becomes ____.",Maths,4,Equivalent fractions,"Fractions equal to each other, such as 1/2 = 2/4; simplifying.",Students can identify equivalent fractions. Students can explain why two fractions represent the same value. Students can simplify simple fractions.,Applying,medium,3,"FITB for Equivalent fractions: Fractions equal to each other, such as 1/2 = 2/4; simplifying., aligned to Students can identify equivalent fractions. Students can explain why two fractions represent the same value. Students can simplify simple fractions..",[],"6/8 can be simplified because 6 and 8 are both divisible by 2. Dividing both by 2 gives 3/4, which is in lowest terms.","{""placementTestTopicId"":""fractions-g4"",""questionNumber"":""Q12"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":4,""topic"":""Equivalent fractions"",""subtopic"":""Fractions equal to each other, such as 1/2 = 2/4; simplifying."",""generationTopic"":""Equivalent fractions"",""generationSubtopic"":""Fractions equal to each other, such as 1/2 = 2/4; simplifying."",""learning_objective"":""Students can identify equivalent fractions. Students can explain why two fractions represent the same value. Students can simplify simple fractions."",""focus"":""Simplify a fraction to lowest terms"",""payload"":{""answer"":""3/4"",""acceptableAnswers"":[""3/4""],""caseSensitive"":false,""hint"":""Divide the numerator and denominator by the same number.""},""planner"":{""packId"":""fractions-g4-fitb""}}",4
13,ptg4-topicfg1kw8-tefjr6e-q13-drag_drop-1,Q13,drag_drop,Sort each fraction into the group with the fraction it is equal to.,Maths,4,Equivalent fractions,"Fractions equal to each other, such as 1/2 = 2/4; simplifying.",Students can identify equivalent fractions. Students can explain why two fractions represent the same value. Students can simplify simple fractions.,Analyzing,hard,4,"DRAG_DROP for Equivalent fractions: Fractions equal to each other, such as 1/2 = 2/4; simplifying., aligned to Students can identify equivalent fractions. Students can explain why two fractions represent the same value. Students can simplify simple fractions..",[],"Equivalent fractions name the same amount. For example, 2/4 = 1/2 because both numerator and denominator can be divided by 2. Also, 3/6 = 1/2, 4/6 = 2/3, 6/9 = 2/3, 2/8 = 1/4, and 3/12 = 1/4.","{""placementTestTopicId"":""fractions-g4"",""questionNumber"":""Q13"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":4,""topic"":""Equivalent fractions"",""subtopic"":""Fractions equal to each other, such as 1/2 = 2/4; simplifying."",""generationTopic"":""Equivalent fractions"",""generationSubtopic"":""Fractions equal to each other, such as 1/2 = 2/4; simplifying."",""learning_objective"":""Students can identify equivalent fractions. Students can explain why two fractions represent the same value. Students can simplify simple fractions."",""focus"":""Identify and simplify equivalent fractions by matching each fraction to its simplest form."",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""2/4""},{""id"":""item_2"",""label"":""3/6""},{""id"":""item_3"",""label"":""4/6""},{""id"":""item_4"",""label"":""6/9""},{""id"":""item_5"",""label"":""2/8""},{""id"":""item_6"",""label"":""3/12""}],""targets"":[{""id"":""target_1"",""label"":""1/2""},{""id"":""target_2"",""label"":""2/3""},{""id"":""target_3"",""label"":""1/4""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_1""},{""itemId"":""item_3"",""targetId"":""target_2""},{""itemId"":""item_4"",""targetId"":""target_2""},{""itemId"":""item_5"",""targetId"":""target_3""},{""itemId"":""item_6"",""targetId"":""target_3""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag each fraction to the simplest fraction it equals.""}},""planner"":{""packId"":""fractions-g4-drag_drop""}}",4
14,ptg3-topicfg1kw8-twiaf1fr6-q14-mcq-1,Q14,mcq,Which shape is split into quarters?,Maths,3,Equivalent fractions,"Fractions equal to each other, such as 1/2 = 2/4; simplifying.","Students can identify halves, thirds, and quarters. Students can explain a fraction as an equal part of a whole. Students can compare simple fractions such as 1/2 and 1/4.",Knowing,easy,1,"MCQ for What is a fraction?: Halves, thirds, quarters; comparing 1/2 and 1/4., aligned to Students can identify halves, thirds, and quarters. Students can explain a fraction as an equal part of a whole. Students can compare simple fractions such as 1/2 and 1/4..","[{""text"":""A circle split into 4 equal parts"",""correct"":true},{""text"":""A rectangle split into 2 equal parts"",""correct"":false},{""text"":""A triangle split into 3 equal parts"",""correct"":false},{""text"":""A square split into 4 parts, but one part is bigger than the others"",""correct"":false}]","A whole is split into quarters when it is divided into 4 equal parts. The correct option shows 4 equal parts. The other options show 2 parts, 3 parts, or 4 parts that are not equal.","{""placementTestTopicId"":""fractions-g3"",""questionNumber"":""Q14"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":3,""topic"":""Equivalent fractions"",""subtopic"":""Fractions equal to each other, such as 1/2 = 2/4; simplifying."",""generationTopic"":""What is a fraction?"",""generationSubtopic"":""Halves, thirds, quarters; comparing 1/2 and 1/4."",""learning_objective"":""Students can identify halves, thirds, and quarters. Students can explain a fraction as an equal part of a whole. Students can compare simple fractions such as 1/2 and 1/4."",""focus"":""Identify quarters as 4 equal parts of a whole"",""planner"":{""packId"":""fractions-g3-mcq""}}",4
15,ptg3-topicfg1kw8-twiaf1fr6-q15-mcq-2,Q15,mcq,One pizza is cut into 2 equal slices. Another pizza of the same size is cut into 4 equal slices. Which statement is true?,Maths,3,Equivalent fractions,"Fractions equal to each other, such as 1/2 = 2/4; simplifying.","Students can identify halves, thirds, and quarters. Students can explain a fraction as an equal part of a whole. Students can compare simple fractions such as 1/2 and 1/4.",Understanding,medium,3,"MCQ for What is a fraction?: Halves, thirds, quarters; comparing 1/2 and 1/4., aligned to Students can identify halves, thirds, and quarters. Students can explain a fraction as an equal part of a whole. Students can compare simple fractions such as 1/2 and 1/4..","[{""text"":""One half is bigger than one quarter"",""correct"":true},{""text"":""One quarter is bigger than one half"",""correct"":false},{""text"":""One half and one quarter are the same size"",""correct"":false},{""text"":""You cannot compare them"",""correct"":false}]","When the wholes are the same size, 1/2 is larger than 1/4 because cutting into fewer equal parts makes each part bigger. So one half of the pizza is bigger than one quarter. The other choices confuse the number of pieces with the size of each piece.","{""placementTestTopicId"":""fractions-g3"",""questionNumber"":""Q15"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":3,""topic"":""Equivalent fractions"",""subtopic"":""Fractions equal to each other, such as 1/2 = 2/4; simplifying."",""generationTopic"":""What is a fraction?"",""generationSubtopic"":""Halves, thirds, quarters; comparing 1/2 and 1/4."",""learning_objective"":""Students can identify halves, thirds, and quarters. Students can explain a fraction as an equal part of a whole. Students can compare simple fractions such as 1/2 and 1/4."",""focus"":""Compare one half and one quarter of the same whole"",""planner"":{""packId"":""fractions-g3-mcq""}}",4
16,ptg4-topicwpg1srp-ttspaggg-q16-mcq-1,Q16,mcq,"A notebook costs $4 and a pen costs $3. If you buy 2 notebooks and 1 pen, how much change do you get from $15?",Maths,4,Two-step problems,Examples include finding the cost of items and then working out change.,Students can solve two-step word problems. Students can calculate total cost in a real-life problem. Students can calculate change after a purchase.,Applying,easy,1,"MCQ for Two-step problems: Examples include finding the cost of items and then working out change., aligned to Students can solve two-step word problems. Students can calculate total cost in a real-life problem. Students can calculate change after a purchase..","[{""text"":""$4"",""correct"":true},{""text"":""$3"",""correct"":false},{""text"":""$11"",""correct"":false},{""text"":""$7"",""correct"":false}]",The total cost is 2 × $4 + $3 = $8 + $3 = $11. The change from $15 is $15 - $11 = $4. A common mistake is to add incorrectly or forget to subtract from the amount paid.,"{""placementTestTopicId"":""word_problems-g4"",""questionNumber"":""Q16"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Two-step problems"",""subtopic"":""Examples include finding the cost of items and then working out change."",""generationTopic"":""Two-step problems"",""generationSubtopic"":""Examples include finding the cost of items and then working out change."",""learning_objective"":""Students can solve two-step word problems. Students can calculate total cost in a real-life problem. Students can calculate change after a purchase."",""focus"":""Find total cost, then calculate change from a given amount"",""planner"":{""packId"":""word_problems-g4-mcq""}}",4
17,ptg4-topicwpg1srp-ttspaggg-q17-mcq-2,Q17,mcq,"A sandwich costs $6 and a juice costs $2. If you buy 1 sandwich and 2 juices, how much change do you get from $12?",Maths,4,Two-step problems,Examples include finding the cost of items and then working out change.,Students can solve two-step word problems. Students can calculate total cost in a real-life problem. Students can calculate change after a purchase.,Applying,easy,1,"MCQ for Two-step problems: Examples include finding the cost of items and then working out change., aligned to Students can solve two-step word problems. Students can calculate total cost in a real-life problem. Students can calculate change after a purchase..","[{""text"":""$2"",""correct"":true},{""text"":""$10"",""correct"":false},{""text"":""$4"",""correct"":false},{""text"":""$6"",""correct"":false}]",The total cost is $6 + 2 × $2 = $6 + $4 = $10. The change from $12 is $12 - $10 = $2. A common mistake is to forget there are 2 juices or to give the total cost instead of the change.,"{""placementTestTopicId"":""word_problems-g4"",""questionNumber"":""Q17"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Two-step problems"",""subtopic"":""Examples include finding the cost of items and then working out change."",""generationTopic"":""Two-step problems"",""generationSubtopic"":""Examples include finding the cost of items and then working out change."",""learning_objective"":""Students can solve two-step word problems. Students can calculate total cost in a real-life problem. Students can calculate change after a purchase."",""focus"":""Add item costs and subtract from the amount paid"",""planner"":{""packId"":""word_problems-g4-mcq""}}",4
18,ptg4-topicwpg1srp-ttspaggg-q18-fitb-1,Q18,fitb,"A notebook costs $6 and a pen costs $3. If you buy 2 notebooks and 1 pen and pay with $20, your change is ____.",Maths,4,Two-step problems,Examples include finding the cost of items and then working out change.,Students can solve two-step word problems. Students can calculate total cost in a real-life problem. Students can calculate change after a purchase.,Applying,medium,3,"FITB for Two-step problems: Examples include finding the cost of items and then working out change., aligned to Students can solve two-step word problems. Students can calculate total cost in a real-life problem. Students can calculate change after a purchase..",[],"First find the total cost: 2 notebooks cost 2 × 6 = 12 dollars, and 1 pen costs 3 dollars. Total cost = 12 + 3 = 15 dollars. Then find the change: 20 - 15 = 5 dollars.","{""placementTestTopicId"":""word_problems-g4"",""questionNumber"":""Q18"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":4,""topic"":""Two-step problems"",""subtopic"":""Examples include finding the cost of items and then working out change."",""generationTopic"":""Two-step problems"",""generationSubtopic"":""Examples include finding the cost of items and then working out change."",""learning_objective"":""Students can solve two-step word problems. Students can calculate total cost in a real-life problem. Students can calculate change after a purchase."",""focus"":""Find total cost, then calculate change"",""payload"":{""answer"":""$5"",""acceptableAnswers"":[""$5"",""5 dollars"",""5""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""word_problems-g4-fitb""}}",4
19,ptg4-topicwpg1srp-ttspaggg-q19-drag_drop-1,Q19,drag_drop,"Sort each card into the correct box to show the total cost and the change from $20. A notebook costs $6, a pen costs $3, and an eraser costs $2. Buy 2 notebooks, 1 pen, and 1 eraser.",Maths,4,Two-step problems,Examples include finding the cost of items and then working out change.,Students can solve two-step word problems. Students can calculate total cost in a real-life problem. Students can calculate change after a purchase.,Applying,medium,3,"DRAG_DROP for Two-step problems: Examples include finding the cost of items and then working out change., aligned to Students can solve two-step word problems. Students can calculate total cost in a real-life problem. Students can calculate change after a purchase..",[],"First find the total cost: 2 notebooks cost $12, then add $3 and $2 to get $17. Next find the change from $20: $20 - $17 = $3. So $17 goes in Total cost and $3 goes in Change.","{""placementTestTopicId"":""word_problems-g4"",""questionNumber"":""Q19"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":4,""topic"":""Two-step problems"",""subtopic"":""Examples include finding the cost of items and then working out change."",""generationTopic"":""Two-step problems"",""generationSubtopic"":""Examples include finding the cost of items and then working out change."",""learning_objective"":""Students can solve two-step word problems. Students can calculate total cost in a real-life problem. Students can calculate change after a purchase."",""focus"":""Calculate total cost, then calculate change from a given amount."",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""$17""},{""id"":""item_2"",""label"":""$3""},{""id"":""item_3"",""label"":""$20""},{""id"":""item_4"",""label"":""$15""}],""targets"":[{""id"":""target_1"",""label"":""Total cost""},{""id"":""target_2"",""label"":""Change from $20""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag the correct cards into the boxes.""}},""planner"":{""packId"":""word_problems-g4-drag_drop""}}",4
20,ptg4-topicwpg1srp-ttspaggg-q20-drag_drop-2,Q20,drag_drop,"Put the steps in order to solve this problem: A toy car costs $8, a puzzle costs $7, and a ball costs $5. Buy 2 toy cars and 1 ball. Pay with $25.",Maths,4,Two-step problems,Examples include finding the cost of items and then working out change.,Students can solve two-step word problems. Students can calculate total cost in a real-life problem. Students can calculate change after a purchase.,Analyzing,hard,4,"DRAG_DROP for Two-step problems: Examples include finding the cost of items and then working out change., aligned to Students can solve two-step word problems. Students can calculate total cost in a real-life problem. Students can calculate change after a purchase..",[],"First work out the cost of 2 toy cars: $8 + $8 = $16. Then add the ball: $16 + $5 = $21 total. Last, subtract from $25 to find the change: $25 - $21 = $4.","{""placementTestTopicId"":""word_problems-g4"",""questionNumber"":""Q20"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":4,""topic"":""Two-step problems"",""subtopic"":""Examples include finding the cost of items and then working out change."",""generationTopic"":""Two-step problems"",""generationSubtopic"":""Examples include finding the cost of items and then working out change."",""learning_objective"":""Students can solve two-step word problems. Students can calculate total cost in a real-life problem. Students can calculate change after a purchase."",""focus"":""Sequence the steps in a two-step purchase and change problem."",""payload"":{""mode"":""order"",""items"":[{""id"":""item_1"",""label"":""$8 + $8 = $16""},{""id"":""item_2"",""label"":""$16 + $5 = $21""},{""id"":""item_3"",""label"":""$25 - $21 = $4""}],""targets"":[{""id"":""target_1"",""label"":""Step 1""},{""id"":""target_2"",""label"":""Step 2""},{""id"":""target_3"",""label"":""Step 3""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_3""}],""labels"":{""start"":""First"",""end"":""Last"",""instruction"":""Drag each step into the correct order.""}},""planner"":{""packId"":""word_problems-g4-drag_drop""}}",4
