rowNumber,queueId,questionNumber,questionType,questionText,subject,grade_level,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,explanation,generationMetadata,grade
11,ptg5-topicfg1kw8-taasf1d8q-q11-fitb-1,Q11,fitb,"A recipe uses 1/2 cup of milk in the morning and 1/4 cup in the evening. Altogether, that is ____ cup of milk.",Maths,5,Adding and subtracting fractions,Fractions with different denominators; mixed numbers like 1 1/2.,Students can add fractions with different denominators. Students can subtract fractions with different denominators. Students can work with mixed numbers such as 1 1/2.,Applying,easy,2,"FITB for Adding and subtracting fractions: Fractions with different denominators; mixed numbers like 1 1/2., aligned to Students can add fractions with different denominators. Students can subtract fractions with different denominators. Students can work with mixed numbers such as 1 1/2..",[],"Find a common denominator of 4. Then 1/2 = 2/4, and 2/4 + 1/4 = 3/4.","{""placementTestTopicId"":""fractions-g5"",""questionNumber"":""Q11"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":5,""topic"":""Adding and subtracting fractions"",""subtopic"":""Fractions with different denominators; mixed numbers like 1 1/2."",""generationTopic"":""Adding and subtracting fractions"",""generationSubtopic"":""Fractions with different denominators; mixed numbers like 1 1/2."",""learning_objective"":""Students can add fractions with different denominators. Students can subtract fractions with different denominators. Students can work with mixed numbers such as 1 1/2."",""focus"":""Add fractions with different denominators using a simple real-life context"",""payload"":{""answer"":""3/4"",""acceptableAnswers"":[""3/4""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""fractions-g5-fitb""}}",5
12,ptg5-topicfg1kw8-taasf1d8q-q12-fitb-2,Q12,fitb,"A ribbon is 1 1/2 metres long. If 2/3 metre is cut off, the ribbon left is ____ metre.",Maths,5,Adding and subtracting fractions,Fractions with different denominators; mixed numbers like 1 1/2.,Students can add fractions with different denominators. Students can subtract fractions with different denominators. Students can work with mixed numbers such as 1 1/2.,Applying,medium,3,"FITB for Adding and subtracting fractions: Fractions with different denominators; mixed numbers like 1 1/2., aligned to Students can add fractions with different denominators. Students can subtract fractions with different denominators. Students can work with mixed numbers such as 1 1/2..",[],Change 1 1/2 to 3/2. Use sixths: 3/2 = 9/6 and 2/3 = 4/6. Then 9/6 - 4/6 = 5/6.,"{""placementTestTopicId"":""fractions-g5"",""questionNumber"":""Q12"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":5,""topic"":""Adding and subtracting fractions"",""subtopic"":""Fractions with different denominators; mixed numbers like 1 1/2."",""generationTopic"":""Adding and subtracting fractions"",""generationSubtopic"":""Fractions with different denominators; mixed numbers like 1 1/2."",""learning_objective"":""Students can add fractions with different denominators. Students can subtract fractions with different denominators. Students can work with mixed numbers such as 1 1/2."",""focus"":""Subtract a fraction from a mixed number by rewriting with a common denominator"",""payload"":{""answer"":""5/6"",""acceptableAnswers"":[""5/6""],""caseSensitive"":false,""hint"":""Change 1 1/2 into an improper fraction first.""},""planner"":{""packId"":""fractions-g5-fitb""}}",5
13,ptg5-topicfg1kw8-taasf1d8q-q13-drag_drop-1,Q13,drag_drop,Sort each expression into the box with its correct value.,Maths,5,Adding and subtracting fractions,Fractions with different denominators; mixed numbers like 1 1/2.,Students can add fractions with different denominators. Students can subtract fractions with different denominators. Students can work with mixed numbers such as 1 1/2.,Analyzing,hard,4,"DRAG_DROP for Adding and subtracting fractions: Fractions with different denominators; mixed numbers like 1 1/2., aligned to Students can add fractions with different denominators. Students can subtract fractions with different denominators. Students can work with mixed numbers such as 1 1/2..",[],"Find a common denominator for each pair, then add or subtract and simplify. For example, 1 1/2 + 1/4 = 1 2/4 + 1/4 = 1 3/4. Also, 5/6 - 1/3 = 5/6 - 2/6 = 3/6 = 1/2.","{""placementTestTopicId"":""fractions-g5"",""questionNumber"":""Q13"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":5,""topic"":""Adding and subtracting fractions"",""subtopic"":""Fractions with different denominators; mixed numbers like 1 1/2."",""generationTopic"":""Adding and subtracting fractions"",""generationSubtopic"":""Fractions with different denominators; mixed numbers like 1 1/2."",""learning_objective"":""Students can add fractions with different denominators. Students can subtract fractions with different denominators. Students can work with mixed numbers such as 1 1/2."",""focus"":""Add and subtract fractions with unlike denominators, including mixed numbers, by matching expressions to simplified results."",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""1/2 + 1/3""},{""id"":""item_2"",""label"":""5/6 - 1/3""},{""id"":""item_3"",""label"":""1 1/2 + 1/4""},{""id"":""item_4"",""label"":""2 - 3/5""}],""targets"":[{""id"":""target_1"",""label"":""5/6""},{""id"":""target_2"",""label"":""1/2""},{""id"":""target_3"",""label"":""1 3/4""},{""id"":""target_4"",""label"":""1 2/5""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_3""},{""itemId"":""item_4"",""targetId"":""target_4""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag each fraction expression to its matching value.""}},""planner"":{""packId"":""fractions-g5-drag_drop""}}",5
14,ptg4-topicfg1kw8-taasf1d8q-q14-mcq-1,Q14,mcq,Which fraction is equal to 1/2?,Maths,4,Adding and subtracting fractions,Fractions with different denominators; mixed numbers like 1 1/2.,Students can identify equivalent fractions. Students can explain why two fractions represent the same value. Students can simplify simple fractions.,Knowing,easy,1,"MCQ for Adding and subtracting fractions: Fractions equal to each other, such as 1/2 = 2/4; simplifying., aligned to Students can identify equivalent fractions. Students can explain why two fractions represent the same value. Students can simplify simple fractions..","[{""text"":""2/4"",""correct"":true},{""text"":""1/4"",""correct"":false},{""text"":""3/4"",""correct"":false},{""text"":""2/3"",""correct"":false}]",2/4 is correct because 2 out of 4 equal parts is the same amount as 1 out of 2 equal parts. The other fractions do not represent one-half.,"{""placementTestTopicId"":""fractions-g4"",""questionNumber"":""Q14"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Adding and subtracting fractions"",""subtopic"":""Fractions with different denominators; mixed numbers like 1 1/2."",""generationTopic"":""Adding and subtracting fractions"",""generationSubtopic"":""Fractions equal to each other, such as 1/2 = 2/4; simplifying."",""learning_objective"":""Students can identify equivalent fractions. Students can explain why two fractions represent the same value. Students can simplify simple fractions."",""focus"":""Identify a fraction equivalent to 1/2"",""planner"":{""packId"":""fractions-g4-mcq""}}",5
15,ptg4-topicfg1kw8-taasf1d8q-q15-mcq-2,Q15,mcq,Which fraction is the simplest form of 4/8?,Maths,4,Adding and subtracting fractions,Fractions with different denominators; mixed numbers like 1 1/2.,Students can identify equivalent fractions. Students can explain why two fractions represent the same value. Students can simplify simple fractions.,Applying,medium,3,"MCQ for Adding and subtracting fractions: Fractions equal to each other, such as 1/2 = 2/4; simplifying., aligned to Students can identify equivalent fractions. Students can explain why two fractions represent the same value. Students can simplify simple fractions..","[{""text"":""2/4"",""correct"":false},{""text"":""1/2"",""correct"":true},{""text"":""4/4"",""correct"":false},{""text"":""3/4"",""correct"":false}]",1/2 is correct because 4/8 can be simplified by dividing both 4 and 8 by 4. That gives 1/2. The other options are not equal to 4/8 or are not in simplest form.,"{""placementTestTopicId"":""fractions-g4"",""questionNumber"":""Q15"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Adding and subtracting fractions"",""subtopic"":""Fractions with different denominators; mixed numbers like 1 1/2."",""generationTopic"":""Adding and subtracting fractions"",""generationSubtopic"":""Fractions equal to each other, such as 1/2 = 2/4; simplifying."",""learning_objective"":""Students can identify equivalent fractions. Students can explain why two fractions represent the same value. Students can simplify simple fractions."",""focus"":""Simplify a fraction by dividing numerator and denominator by the same number"",""planner"":{""packId"":""fractions-g4-mcq""}}",5
16,ptg5-topicwpg1srp-tmspk6n8-q16-mcq-1,Q16,mcq,"A recipe uses 1.5 cups of flour for one batch of muffins. If 2 batches are made, and then 0.5 cup more flour is added, how much flour is used altogether?",Maths,5,Multi-step problems,Examples include measuring ingredients or calculating costs with decimals.,Students can solve multi-step word problems. Students can solve measurement word problems involving ingredients. Students can solve cost word problems involving decimals.,Applying,easy,1,"MCQ for Multi-step problems: Examples include measuring ingredients or calculating costs with decimals., aligned to Students can solve multi-step word problems. Students can solve measurement word problems involving ingredients. Students can solve cost word problems involving decimals..","[{""text"":""3.5 cups"",""correct"":true},{""text"":""3.0 cups"",""correct"":false},{""text"":""4.0 cups"",""correct"":false},{""text"":""2.5 cups"",""correct"":false}]","One batch uses 1.5 cups, so 2 batches use 1.5 × 2 = 3.0 cups. Then add 0.5 cup more: 3.0 + 0.5 = 3.5 cups. A common mistake is to add 1.5 + 2 + 0.5 instead of multiplying for 2 batches first.","{""placementTestTopicId"":""word_problems-g5"",""questionNumber"":""Q16"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Multi-step problems"",""subtopic"":""Examples include measuring ingredients or calculating costs with decimals."",""generationTopic"":""Multi-step problems"",""generationSubtopic"":""Examples include measuring ingredients or calculating costs with decimals."",""learning_objective"":""Students can solve multi-step word problems. Students can solve measurement word problems involving ingredients. Students can solve cost word problems involving decimals."",""focus"":""measurement word problems involving ingredients with decimals"",""planner"":{""packId"":""word_problems-g5-mcq""}}",5
17,ptg5-topicwpg1srp-tmspk6n8-q17-mcq-2,Q17,mcq,"A notebook costs $2.45 and a pen costs $1.30. If 1 notebook and 2 pens are bought, what is the total cost?",Maths,5,Multi-step problems,Examples include measuring ingredients or calculating costs with decimals.,Students can solve multi-step word problems. Students can solve measurement word problems involving ingredients. Students can solve cost word problems involving decimals.,Applying,easy,1,"MCQ for Multi-step problems: Examples include measuring ingredients or calculating costs with decimals., aligned to Students can solve multi-step word problems. Students can solve measurement word problems involving ingredients. Students can solve cost word problems involving decimals..","[{""text"":""$5.05"",""correct"":true},{""text"":""$3.75"",""correct"":false},{""text"":""$4.95"",""correct"":false},{""text"":""$5.15"",""correct"":false}]","Two pens cost 2 × $1.30 = $2.60. Then add the notebook: $2.45 + $2.60 = $5.05. A common mistake is to add $2.45 and $1.30 only once, which gives $3.75 and ignores the second pen.","{""placementTestTopicId"":""word_problems-g5"",""questionNumber"":""Q17"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Multi-step problems"",""subtopic"":""Examples include measuring ingredients or calculating costs with decimals."",""generationTopic"":""Multi-step problems"",""generationSubtopic"":""Examples include measuring ingredients or calculating costs with decimals."",""learning_objective"":""Students can solve multi-step word problems. Students can solve measurement word problems involving ingredients. Students can solve cost word problems involving decimals."",""focus"":""cost word problems with decimals"",""planner"":{""packId"":""word_problems-g5-mcq""}}",5
18,ptg5-topicwpg1srp-tmspk6n8-q18-fitb-1,Q18,fitb,A notebook costs $3.45 and a pen costs $1.25. Buying 2 notebooks and 1 pen costs ____ altogether.,Maths,5,Multi-step problems,Examples include measuring ingredients or calculating costs with decimals.,Students can solve multi-step word problems. Students can solve measurement word problems involving ingredients. Students can solve cost word problems involving decimals.,Applying,medium,3,"FITB for Multi-step problems: Examples include measuring ingredients or calculating costs with decimals., aligned to Students can solve multi-step word problems. Students can solve measurement word problems involving ingredients. Students can solve cost word problems involving decimals..",[],First find the cost of 2 notebooks: 2 × 3.45 = 6.90. Then add the cost of 1 pen: 6.90 + 1.25 = 8.15. So the total cost is $8.15.,"{""placementTestTopicId"":""word_problems-g5"",""questionNumber"":""Q18"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":5,""topic"":""Multi-step problems"",""subtopic"":""Examples include measuring ingredients or calculating costs with decimals."",""generationTopic"":""Multi-step problems"",""generationSubtopic"":""Examples include measuring ingredients or calculating costs with decimals."",""learning_objective"":""Students can solve multi-step word problems. Students can solve measurement word problems involving ingredients. Students can solve cost word problems involving decimals."",""focus"":""Solving a multi-step cost word problem with decimals"",""payload"":{""answer"":""8.15"",""acceptableAnswers"":[""8.15"",""$8.15""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""word_problems-g5-fitb""}}",5
19,ptg5-topicwpg1srp-tmspk6n8-q19-drag_drop-1,Q19,drag_drop,"A recipe needs 2.5 cups of flour. You already put in 1.25 cups. Drag each card to show whether it is less than, equal to, or more than the flour still needed.",Maths,5,Multi-step problems,Examples include measuring ingredients or calculating costs with decimals.,Students can solve multi-step word problems. Students can solve measurement word problems involving ingredients. Students can solve cost word problems involving decimals.,Applying,medium,3,"DRAG_DROP for Multi-step problems: Examples include measuring ingredients or calculating costs with decimals., aligned to Students can solve multi-step word problems. Students can solve measurement word problems involving ingredients. Students can solve cost word problems involving decimals..",[],First find the flour still needed: 2.5 - 1.25 = 1.25 cups. Then compare each card to 1.25 cups. 1.0 cup and 1.2 cups are less than 1.25 cups. 1.25 cups is equal to 1.25 cups. 1.3 cups is more than 1.25 cups.,"{""placementTestTopicId"":""word_problems-g5"",""questionNumber"":""Q19"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":5,""topic"":""Multi-step problems"",""subtopic"":""Examples include measuring ingredients or calculating costs with decimals."",""generationTopic"":""Multi-step problems"",""generationSubtopic"":""Examples include measuring ingredients or calculating costs with decimals."",""learning_objective"":""Students can solve multi-step word problems. Students can solve measurement word problems involving ingredients. Students can solve cost word problems involving decimals."",""focus"":""Compare decimal amounts to the remaining ingredient needed in a recipe."",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""1.0 cup""},{""id"":""item_2"",""label"":""1.2 cups""},{""id"":""item_3"",""label"":""1.25 cups""},{""id"":""item_4"",""label"":""1.3 cups""}],""targets"":[{""id"":""target_1"",""label"":""Less than still needed""},{""id"":""target_2"",""label"":""Equal to still needed""},{""id"":""target_3"",""label"":""More than still needed""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_1""},{""itemId"":""item_3"",""targetId"":""target_2""},{""itemId"":""item_4"",""targetId"":""target_3""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag each amount to the correct box.""}},""planner"":{""packId"":""word_problems-g5-drag_drop""}}",5
20,ptg5-topicwpg1srp-tmspk6n8-q20-drag_drop-2,Q20,drag_drop,A snack shop sells a juice for $1.75 and a muffin for $2.40. One snack combo has 2 juices and 1 muffin. Drag the cards into order from least total cost to greatest total cost.,Maths,5,Multi-step problems,Examples include measuring ingredients or calculating costs with decimals.,Students can solve multi-step word problems. Students can solve measurement word problems involving ingredients. Students can solve cost word problems involving decimals.,Analyzing,hard,4,"DRAG_DROP for Multi-step problems: Examples include measuring ingredients or calculating costs with decimals., aligned to Students can solve multi-step word problems. Students can solve measurement word problems involving ingredients. Students can solve cost word problems involving decimals..",[],"First find the cost of 1 combo: 2 x $1.75 + $2.40 = $3.50 + $2.40 = $5.90. Then multiply: 1 combo = $5.90, 2 combos = $11.80, 3 combos = $17.70, 4 combos = $23.60. So the order from least to greatest is 1 combo, 2 combos, 3 combos, 4 combos.","{""placementTestTopicId"":""word_problems-g5"",""questionNumber"":""Q20"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":5,""topic"":""Multi-step problems"",""subtopic"":""Examples include measuring ingredients or calculating costs with decimals."",""generationTopic"":""Multi-step problems"",""generationSubtopic"":""Examples include measuring ingredients or calculating costs with decimals."",""learning_objective"":""Students can solve multi-step word problems. Students can solve measurement word problems involving ingredients. Students can solve cost word problems involving decimals."",""focus"":""Find and compare total decimal costs of different numbers of snack combos."",""payload"":{""mode"":""order"",""items"":[{""id"":""item_1"",""label"":""3 combos""},{""id"":""item_2"",""label"":""1 combo""},{""id"":""item_3"",""label"":""4 combos""},{""id"":""item_4"",""label"":""2 combos""}],""targets"":[{""id"":""target_1"",""label"":""1st""},{""id"":""target_2"",""label"":""2nd""},{""id"":""target_3"",""label"":""3rd""},{""id"":""target_4"",""label"":""4th""}],""answerKey"":[{""itemId"":""item_2"",""targetId"":""target_1""},{""itemId"":""item_4"",""targetId"":""target_2""},{""itemId"":""item_1"",""targetId"":""target_3""},{""itemId"":""item_3"",""targetId"":""target_4""}],""labels"":{""start"":""Least total cost"",""end"":""Greatest total cost"",""instruction"":""Drag the cards into order.""}},""planner"":{""packId"":""word_problems-g5-drag_drop""}}",5
