rowNumber,queueId,questionNumber,questionType,questionText,subject,grade_level,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,explanation,generationMetadata,grade
11,ptg8-topicfg1kw8-tpari1oho-q11-fitb-1,Q11,fitb,"A jacket costs $40 before tax. If the sales tax is 5%, the tax amount is ____ dollars.",Maths,8,Percentages and ratio in real life,"Tax, interest, percentage change in everyday problems.",Students can solve real-life percentage problems involving tax. Students can solve real-life percentage problems involving interest. Students can solve percentage change and ratio problems.,Applying,easy,2,"FITB for Percentages and ratio in real life: Tax, interest, percentage change in everyday problems., aligned to Students can solve real-life percentage problems involving tax. Students can solve real-life percentage problems involving interest. Students can solve percentage change and ratio problems..",[],Find 5% of 40: 0.05 × 40 = 2. So the tax amount is 2 dollars.,"{""placementTestTopicId"":""fractions-g8"",""questionNumber"":""Q11"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":8,""topic"":""Percentages and ratio in real life"",""subtopic"":""Tax, interest, percentage change in everyday problems."",""generationTopic"":""Percentages and ratio in real life"",""generationSubtopic"":""Tax, interest, percentage change in everyday problems."",""learning_objective"":""Students can solve real-life percentage problems involving tax. Students can solve real-life percentage problems involving interest. Students can solve percentage change and ratio problems."",""focus"":""calculating tax amount from a given percentage"",""payload"":{""answer"":""2"",""acceptableAnswers"":[""2"",""2.0""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""fractions-g8-fitb""}}",8
12,ptg8-topicfg1kw8-tpari1oho-q12-fitb-2,Q12,fitb,A savings account has $200 and earns 6% simple interest for 2 years. The total interest earned is ____ dollars.,Maths,8,Percentages and ratio in real life,"Tax, interest, percentage change in everyday problems.",Students can solve real-life percentage problems involving tax. Students can solve real-life percentage problems involving interest. Students can solve percentage change and ratio problems.,Applying,medium,3,"FITB for Percentages and ratio in real life: Tax, interest, percentage change in everyday problems., aligned to Students can solve real-life percentage problems involving tax. Students can solve real-life percentage problems involving interest. Students can solve percentage change and ratio problems..",[],"Simple interest for 1 year is 6% of 200, which is 12 dollars. For 2 years, the interest is 12 × 2 = 24 dollars.","{""placementTestTopicId"":""fractions-g8"",""questionNumber"":""Q12"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":8,""topic"":""Percentages and ratio in real life"",""subtopic"":""Tax, interest, percentage change in everyday problems."",""generationTopic"":""Percentages and ratio in real life"",""generationSubtopic"":""Tax, interest, percentage change in everyday problems."",""learning_objective"":""Students can solve real-life percentage problems involving tax. Students can solve real-life percentage problems involving interest. Students can solve percentage change and ratio problems."",""focus"":""calculating simple interest over more than one year"",""payload"":{""answer"":""24"",""acceptableAnswers"":[""24"",""24.0""],""caseSensitive"":false,""hint"":""First find 6% of 200 for one year, then multiply by 2.""},""planner"":{""packId"":""fractions-g8-fitb""}}",8
13,ptg8-topicfg1kw8-tpari1oho-q13-drag_drop-1,Q13,drag_drop,Match each real-life situation to the correct percentage change result.,Maths,8,Percentages and ratio in real life,"Tax, interest, percentage change in everyday problems.",Students can solve real-life percentage problems involving tax. Students can solve real-life percentage problems involving interest. Students can solve percentage change and ratio problems.,Analyzing,hard,4,"DRAG_DROP for Percentages and ratio in real life: Tax, interest, percentage change in everyday problems., aligned to Students can solve real-life percentage problems involving tax. Students can solve real-life percentage problems involving interest. Students can solve percentage change and ratio problems..",[],"Calculate each result first, then match it. 8% tax on $50 gives $54. 5% simple interest for 1 year on $200 gives $210. A 25% increase on 80 gives 100. A 20% decrease on 150 gives 120.","{""placementTestTopicId"":""fractions-g8"",""questionNumber"":""Q13"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":8,""topic"":""Percentages and ratio in real life"",""subtopic"":""Tax, interest, percentage change in everyday problems."",""generationTopic"":""Percentages and ratio in real life"",""generationSubtopic"":""Tax, interest, percentage change in everyday problems."",""learning_objective"":""Students can solve real-life percentage problems involving tax. Students can solve real-life percentage problems involving interest. Students can solve percentage change and ratio problems."",""focus"":""Tax, simple interest, percentage increase, and percentage decrease"",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""$50 + 8% tax""},{""id"":""item_2"",""label"":""$200 + 5% interest""},{""id"":""item_3"",""label"":""80 increased by 25%""},{""id"":""item_4"",""label"":""150 decreased by 20%""}],""targets"":[{""id"":""target_1"",""label"":""$54""},{""id"":""target_2"",""label"":""$210""},{""id"":""target_3"",""label"":""100""},{""id"":""target_4"",""label"":""120""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_3""},{""itemId"":""item_4"",""targetId"":""target_4""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag each situation to its matching result.""}},""planner"":{""packId"":""fractions-g8-drag_drop""}}",8
14,ptg7-topicfg1kw8-tpari1oho-q14-mcq-1,Q14,mcq,Which set shows three equivalent values?,Maths,7,Percentages and ratio in real life,"Tax, interest, percentage change in everyday problems.","Students can convert between fractions, decimals, and percentages. Students can recognize equivalent values such as 3/4, 0.75, and 75%. Students can find percentages of amounts.",Understanding,easy,2,"MCQ for Percentages and ratio in real life: 3/4 = 0.75 = 75%; finding percentages of amounts., aligned to Students can convert between fractions, decimals, and percentages. Students can recognize equivalent values such as 3/4, 0.75, and 75%. Students can find percentages of amounts..","[{""text"":""3/4, 0.75, 75%"",""correct"":true},{""text"":""3/4, 0.57, 75%"",""correct"":false},{""text"":""3/4, 0.75, 70%"",""correct"":false},{""text"":""1/4, 0.75, 75%"",""correct"":false}]","The correct set is 3/4, 0.75, and 75% because 3 divided by 4 equals 0.75, and 0.75 written as a percentage is 75%. The other options mix values that are not equal to each other.","{""placementTestTopicId"":""fractions-g7"",""questionNumber"":""Q14"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":7,""topic"":""Percentages and ratio in real life"",""subtopic"":""Tax, interest, percentage change in everyday problems."",""generationTopic"":""Percentages and ratio in real life"",""generationSubtopic"":""3/4 = 0.75 = 75%; finding percentages of amounts."",""learning_objective"":""Students can convert between fractions, decimals, and percentages. Students can recognize equivalent values such as 3/4, 0.75, and 75%. Students can find percentages of amounts."",""focus"":""Recognising equivalent fraction, decimal, and percentage forms"",""planner"":{""packId"":""fractions-g7-mcq""}}",8
15,ptg7-topicfg1kw8-tpari1oho-q15-mcq-2,Q15,mcq,A jacket costs $40. What is 75% of $40?,Maths,7,Percentages and ratio in real life,"Tax, interest, percentage change in everyday problems.","Students can convert between fractions, decimals, and percentages. Students can recognize equivalent values such as 3/4, 0.75, and 75%. Students can find percentages of amounts.",Applying,medium,3,"MCQ for Percentages and ratio in real life: 3/4 = 0.75 = 75%; finding percentages of amounts., aligned to Students can convert between fractions, decimals, and percentages. Students can recognize equivalent values such as 3/4, 0.75, and 75%. Students can find percentages of amounts..","[{""text"":""$10"",""correct"":false},{""text"":""$20"",""correct"":false},{""text"":""$30"",""correct"":true},{""text"":""$35"",""correct"":false}]","75% means 0.75 or 3/4. So 75% of $40 is 0.75 × 40 = 30, which is also 3/4 of 40. The other options come from common mistakes such as taking 25%, 50%, or adding instead of finding a part.","{""placementTestTopicId"":""fractions-g7"",""questionNumber"":""Q15"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":7,""topic"":""Percentages and ratio in real life"",""subtopic"":""Tax, interest, percentage change in everyday problems."",""generationTopic"":""Percentages and ratio in real life"",""generationSubtopic"":""3/4 = 0.75 = 75%; finding percentages of amounts."",""learning_objective"":""Students can convert between fractions, decimals, and percentages. Students can recognize equivalent values such as 3/4, 0.75, and 75%. Students can find percentages of amounts."",""focus"":""Finding 75% of an amount using equivalent forms"",""planner"":{""packId"":""fractions-g7-mcq""}}",8
16,ptg8-topicwpg1srp-taapt1jnu-q16-mcq-1,Q16,mcq,"A jacket costs $80. Its price increases by 15%. Which equation gives the new total cost, y, of the jacket?",Maths,8,Algebra and percentage together,Examples include total cost after a price increase using an equation.,Students can solve word problems that combine algebra and percentages. Students can model price increase problems with equations. Students can calculate total cost after a percentage change.,Applying,easy,2,"MCQ for Algebra and percentage together: Examples include total cost after a price increase using an equation., aligned to Students can solve word problems that combine algebra and percentages. Students can model price increase problems with equations. Students can calculate total cost after a percentage change..","[{""text"":""y = 80 + 0.15(80)"",""correct"":true},{""text"":""y = 80 - 0.15(80)"",""correct"":false},{""text"":""y = 0.15 + 80"",""correct"":false},{""text"":""y = 80 × 0.15"",""correct"":false}]","A 15% increase means adding 15% of 80 to the original price, so y = 80 + 0.15(80). This equals 92. A common mistake is to subtract the percentage or use 0.15 alone instead of 15% of the original price.","{""placementTestTopicId"":""word_problems-g8"",""questionNumber"":""Q16"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":8,""topic"":""Algebra and percentage together"",""subtopic"":""Examples include total cost after a price increase using an equation."",""generationTopic"":""Algebra and percentage together"",""generationSubtopic"":""Examples include total cost after a price increase using an equation."",""learning_objective"":""Students can solve word problems that combine algebra and percentages. Students can model price increase problems with equations. Students can calculate total cost after a percentage change."",""focus"":""Modeling a price increase with a linear equation"",""planner"":{""packId"":""word_problems-g8-mcq""}}",8
17,ptg8-topicwpg1srp-taapt1jnu-q17-mcq-2,Q17,mcq,A bicycle helmet costs $40. The price goes up by 25%. What is the new price?,Maths,8,Algebra and percentage together,Examples include total cost after a price increase using an equation.,Students can solve word problems that combine algebra and percentages. Students can model price increase problems with equations. Students can calculate total cost after a percentage change.,Applying,easy,2,"MCQ for Algebra and percentage together: Examples include total cost after a price increase using an equation., aligned to Students can solve word problems that combine algebra and percentages. Students can model price increase problems with equations. Students can calculate total cost after a percentage change..","[{""text"":""$10"",""correct"":false},{""text"":""$30"",""correct"":false},{""text"":""$50"",""correct"":true},{""text"":""$65"",""correct"":false}]","First find 25% of $40, which is $10. Then add it to the original price: $40 + $10 = $50. A common mistake is choosing $30 by subtracting instead of increasing, or $10 by giving only the amount of the increase.","{""placementTestTopicId"":""word_problems-g8"",""questionNumber"":""Q17"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":8,""topic"":""Algebra and percentage together"",""subtopic"":""Examples include total cost after a price increase using an equation."",""generationTopic"":""Algebra and percentage together"",""generationSubtopic"":""Examples include total cost after a price increase using an equation."",""learning_objective"":""Students can solve word problems that combine algebra and percentages. Students can model price increase problems with equations. Students can calculate total cost after a percentage change."",""focus"":""Calculating total cost after a percentage increase"",""planner"":{""packId"":""word_problems-g8-mcq""}}",8
18,ptg8-topicwpg1srp-taapt1jnu-q18-fitb-1,Q18,fitb,A jacket costs $80 and its price increases by 15%. The new price is ____ dollars.,Maths,8,Algebra and percentage together,Examples include total cost after a price increase using an equation.,Students can solve word problems that combine algebra and percentages. Students can model price increase problems with equations. Students can calculate total cost after a percentage change.,Applying,medium,3,"FITB for Algebra and percentage together: Examples include total cost after a price increase using an equation., aligned to Students can solve word problems that combine algebra and percentages. Students can model price increase problems with equations. Students can calculate total cost after a percentage change..",[],First find 15% of 80: 0.15 × 80 = 12. Then add the increase to the original price: 80 + 12 = 92.,"{""placementTestTopicId"":""word_problems-g8"",""questionNumber"":""Q18"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":8,""topic"":""Algebra and percentage together"",""subtopic"":""Examples include total cost after a price increase using an equation."",""generationTopic"":""Algebra and percentage together"",""generationSubtopic"":""Examples include total cost after a price increase using an equation."",""learning_objective"":""Students can solve word problems that combine algebra and percentages. Students can model price increase problems with equations. Students can calculate total cost after a percentage change."",""focus"":""calculating total cost after a percentage increase"",""payload"":{""answer"":""92"",""acceptableAnswers"":[""92"",""92.0""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""word_problems-g8-fitb""}}",8
19,ptg8-topicwpg1srp-taapt1jnu-q19-drag_drop-1,Q19,drag_drop,A jacket has original price x dollars and the price increases by 15%. Drag each card to match the correct part of the equation for the new total cost.,Maths,8,Algebra and percentage together,Examples include total cost after a price increase using an equation.,Students can solve word problems that combine algebra and percentages. Students can model price increase problems with equations. Students can calculate total cost after a percentage change.,Applying,medium,3,"DRAG_DROP for Algebra and percentage together: Examples include total cost after a price increase using an equation., aligned to Students can solve word problems that combine algebra and percentages. Students can model price increase problems with equations. Students can calculate total cost after a percentage change..",[],"A 15% increase means add 15% of the original price to the original price. So increase amount = 0.15x, original price = x, and new total = x + 0.15x = 1.15x.","{""placementTestTopicId"":""word_problems-g8"",""questionNumber"":""Q19"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":8,""topic"":""Algebra and percentage together"",""subtopic"":""Examples include total cost after a price increase using an equation."",""generationTopic"":""Algebra and percentage together"",""generationSubtopic"":""Examples include total cost after a price increase using an equation."",""learning_objective"":""Students can solve word problems that combine algebra and percentages. Students can model price increase problems with equations. Students can calculate total cost after a percentage change."",""focus"":""Model a price increase with algebraic expressions"",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""x""},{""id"":""item_2"",""label"":""0.15x""},{""id"":""item_3"",""label"":""x + 0.15x""},{""id"":""item_4"",""label"":""1.15x""}],""targets"":[{""id"":""target_1"",""label"":""Original price""},{""id"":""target_2"",""label"":""Increase amount""},{""id"":""target_3"",""label"":""New total cost""},{""id"":""target_4"",""label"":""Simplified new total""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_3""},{""itemId"":""item_4"",""targetId"":""target_4""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag each card to its matching description.""}},""planner"":{""packId"":""word_problems-g8-drag_drop""}}",8
20,ptg8-topicwpg1srp-taapt1jnu-q20-drag_drop-2,Q20,drag_drop,A phone case now costs $27.60 after a 15% price increase. Drag the cards into the correct order to show how to find the original price.,Maths,8,Algebra and percentage together,Examples include total cost after a price increase using an equation.,Students can solve word problems that combine algebra and percentages. Students can model price increase problems with equations. Students can calculate total cost after a percentage change.,Analyzing,hard,4,"DRAG_DROP for Algebra and percentage together: Examples include total cost after a price increase using an equation., aligned to Students can solve word problems that combine algebra and percentages. Students can model price increase problems with equations. Students can calculate total cost after a percentage change..",[],"If the original price is x, then after a 15% increase the new price is 1.15x. Since the final price is 27.60, solve 1.15x = 27.60, so x = 27.60 ÷ 1.15 = 24. The original price was $24.","{""placementTestTopicId"":""word_problems-g8"",""questionNumber"":""Q20"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":8,""topic"":""Algebra and percentage together"",""subtopic"":""Examples include total cost after a price increase using an equation."",""generationTopic"":""Algebra and percentage together"",""generationSubtopic"":""Examples include total cost after a price increase using an equation."",""learning_objective"":""Students can solve word problems that combine algebra and percentages. Students can model price increase problems with equations. Students can calculate total cost after a percentage change."",""focus"":""Reverse a percentage increase using an equation"",""payload"":{""mode"":""order"",""items"":[{""id"":""item_1"",""label"":""Let the original price be x""},{""id"":""item_2"",""label"":""1.15x = 27.60""},{""id"":""item_3"",""label"":""x = 27.60 ÷ 1.15""},{""id"":""item_4"",""label"":""x = 24""}],""targets"":[{""id"":""target_1"",""label"":""Step 1""},{""id"":""target_2"",""label"":""Step 2""},{""id"":""target_3"",""label"":""Step 3""},{""id"":""target_4"",""label"":""Step 4""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_3""},{""itemId"":""item_4"",""targetId"":""target_4""}],""labels"":{""start"":""First"",""end"":""Last"",""instruction"":""Put the steps in order.""}},""planner"":{""packId"":""word_problems-g8-drag_drop""}}",8
